rank,id,name,section,solves,attempts,url
116,1705,Forbidden Cities,Advanced Graph Problems,856,1116,https://cses.fi/problemset/task/1705
117,3211,Number of Subset Xors,Bitwise Operations,875,893,https://cses.fi/problemset/task/3211
118,2112,One Bit Positions,Advanced Techniques,890,970,https://cses.fi/problemset/task/2112
119,1709,Coin Grid,Additional Problems II,891,1042,https://cses.fi/problemset/task/1709
120,1075,Counting Permutations,Counting Problems,903,1020,https://cses.fi/problemset/task/1075
121,1701,Tree Isomorphism II,Advanced Graph Problems,916,1056,https://cses.fi/problemset/task/1701
122,3139,Hidden Permutation,Interactive Problems,918,1077,https://cses.fi/problemset/task/3139
123,3397,Permutation Order,Mathematics,944,963,https://cses.fi/problemset/task/3397
124,2129,Task Assignment,Advanced Techniques,946,1018,https://cses.fi/problemset/task/2129
125,1704,Network Renovation,Advanced Graph Problems,955,1269,https://cses.fi/problemset/task/1704
126,3191,Maximum Xor Subset,Bitwise Operations,987,1077,https://cses.fi/problemset/task/3191
127,2186,Special Substrings,Additional Problems I,995,1091,https://cses.fi/problemset/task/2186
128,2088,Knuth Division,Advanced Techniques,996,1122,https://cses.fi/problemset/task/2088
129,2215,Monotone Subsequences,Construction Problems,1018,1203,https://cses.fi/problemset/task/2215
130,2229,Permutation Inversions,Counting Problems,1042,1149,https://cses.fi/problemset/task/2229
131,3356,Distinct Values Queries II,Range Queries,1056,1210,https://cses.fi/problemset/task/3356
132,2133,Dynamic Connectivity,Advanced Techniques,1061,1194,https://cses.fi/problemset/task/2133
133,2085,Monster Game II,Advanced Techniques,1083,1158,https://cses.fi/problemset/task/2085
134,1700,Tree Isomorphism I,Advanced Graph Problems,1112,1326,https://cses.fi/problemset/task/1700
135,2111,Apples and Bananas,Advanced Techniques,1133,1228,https://cses.fi/problemset/task/2111
136,1149,Distinct Subsequences,String Algorithms,1140,1213,https://cses.fi/problemset/task/1149
137,2110,Substring Distribution,String Algorithms,1154,1252,https://cses.fi/problemset/task/2110
138,3223,Sliding Window Inversions,Sliding Window Problems,1167,1242,https://cses.fi/problemset/task/3223
139,1677,Network Breakdown,Advanced Graph Problems,1177,1282,https://cses.fi/problemset/task/1677
140,1741,Area of Rectangles,Geometry,1202,1344,https://cses.fi/problemset/task/1741
141,1191,Cyclic Array,Additional Problems I,1212,1378,https://cses.fi/problemset/task/1191
142,2084,Monster Game I,Advanced Techniques,1222,1355,https://cses.fi/problemset/task/2084
143,1697,Chess Tournament,Construction Problems,1234,1425,https://cses.fi/problemset/task/1697
144,2108,Substring Order I,String Algorithms,1240,1382,https://cses.fi/problemset/task/2108
145,1159,Book Shop II,Additional Problems II,1252,1427,https://cses.fi/problemset/task/1159
146,3398,Permutation Rounds,Mathematics,1267,1410,https://cses.fi/problemset/task/3398
147,3163,Range Interval Queries,Range Queries,1275,1716,https://cses.fi/problemset/task/3163
148,1702,Tree Traversals,Advanced Graph Problems,1276,1404,https://cses.fi/problemset/task/1702
149,2179,Even Outdegree Edges,Advanced Graph Problems,1392,1622,https://cses.fi/problemset/task/2179
150,1706,School Excursion,Additional Problems II,1396,1479,https://cses.fi/problemset/task/1706
151,2073,Substring Reversals,Advanced Techniques,1410,1530,https://cses.fi/problemset/task/2073
152,2074,Reversals and Sums,Advanced Techniques,1428,1532,https://cses.fi/problemset/task/2074
153,1664,Movie Festival Queries,Range Queries,1443,1607,https://cses.fi/problemset/task/1664
154,2086,Subarray Squares,Advanced Techniques,1508,1772,https://cses.fi/problemset/task/2086
155,1665,Coding Company,Additional Problems II,1512,1984,https://cses.fi/problemset/task/1665
156,2177,Strongly Connected Edges,Advanced Graph Problems,1526,1808,https://cses.fi/problemset/task/2177
157,1134,Prüfer Code,Advanced Graph Problems,1567,1684,https://cses.fi/problemset/task/1134
158,1727,Candy Lottery,Mathematics,1588,3188,https://cses.fi/problemset/task/1727
159,2143,Reachability Queries,Advanced Techniques,1588,1869,https://cses.fi/problemset/task/2143
160,2104,Pattern Positions,String Algorithms,1617,1969,https://cses.fi/problemset/task/2104
161,2072,Cut and Paste,Advanced Techniques,1622,1797,https://cses.fi/problemset/task/2072
162,3304,Visible Buildings Queries,Range Queries,1638,1785,https://cses.fi/problemset/task/3304
163,2214,Inverse Inversions,Construction Problems,1674,1784,https://cses.fi/problemset/task/2214
164,1726,Moving Robots,Mathematics,1681,1777,https://cses.fi/problemset/task/1726
165,1080,Empty String,Counting Problems,1686,2054,https://cses.fi/problemset/task/1080
166,2081,Fixed-Length Paths II,Tree Algorithms,1698,3062,https://cses.fi/problemset/task/2081
167,2107,String Functions,String Algorithms,1719,1800,https://cses.fi/problemset/task/2107
168,1112,Required Substring,String Algorithms,1760,2666,https://cses.fi/problemset/task/1112
169,3405,Sliding Window Or,Sliding Window Problems,1787,3083,https://cses.fi/problemset/task/3405
170,3226,Subarray Sum Queries II,Range Queries,1809,1873,https://cses.fi/problemset/task/3226
171,2105,Distinct Substrings,String Algorithms,1828,2177,https://cses.fi/problemset/task/2105
